url,color,size,title,id,description,price,currency,product_type,images_urls,additional
https://daniafurniture.com/products/holfred-high-chest,TIMBER BROWN,,Holfred High Chest,9513542864,"Mid-century modern design defines the sleek Holfred High Chest. Warm tones in the smooth wood grain offer beauty to your bedroom and are complemented by the attention to small detail. Rounded edges, exquisite cutouts for the drawer pulls and brass caps on the feet make this piece a true classic.",949,USD,BED_High Chest,"['https://cdn.shopify.com/s/files/1/1920/4697/products/High-chest-Holfred_v2.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/Holfred-High-Dresser_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-HC_002.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-HC_003_114fea05-5b6c-457a-a6a9-af3798196a74.jpg']","{'variant_attributes': 'Color: TIMBER BROWN', 'variant_title': 'TIMBER BROWN', 'scraped_at': '2022-10-12T17:01:26.814Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Holfred', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Promotion:Bedroom Back to School', 'prop65:METHANOL_EHTYL_BENZENE', 'Room:Bedroom', 'Room:Teen', 'safety_info:anti_tip_kit', 'Sub-Type:High Chests', 'type:Dressers'], 'weight': '134.24 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/stockton-wall-clock,Brushed Nickel,,Stockton Wall Clock,9514191056,The ancient strength and appeal of wrought iron is apparent in the Stockton Wall Clock. This large wrought iron beauty is perfect for filling wall space while making a statement. Roman numerals are stretched between a two-ring frame.,379,USD,ACC_Clock,['https://cdn.shopify.com/s/files/1/1920/4697/products/H14_625-472_001_b63a046e-8807-4e80-ae0a-fc5729c69c44.jpg'],"{'variant_attributes': 'color: Brushed Nickel', 'variant_title': 'Brushed Nickel', 'scraped_at': '2022-10-12T17:01:27.933Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'FULLPRICE', 'gift_ideas', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Home Decor', 'Sub-Type:Wall Clocks', 'type:Clocks'], 'weight': '23.0008 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/ball-clock-ii-wall-clock,Black Satin-Nickel,,Ball Clock II Wall Clock,9514190928,"Atomic design enthusiasts will love this Ball Clock II Wall Clock. Infused with characteristics of space exploration and atomic science, this clock is reminiscent of an atom exploding. Black balls extend from the dial via thin metal poles.",429,USD,ACC_Clock,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H14_625-527_001_496c4822-07db-48af-b2ef-a332ba93573e.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/V09_Gustav_05_1200x1000_4454a5a7-8c9a-4f9a-91f1-da97aa126209.jpg']","{'variant_attributes': 'Color: Black Satin-Nickel', 'variant_title': 'Black Satin-Nickel', 'scraped_at': '2022-10-12T17:01:28.829Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'FULLPRICE', 'gift_ideas', 'HD_BS', 'ISP_NO_SPLIT', 'retro_gifts', 'Room:Home Decor', 'Sub-Type:Wall Clocks', 'type:Clocks'], 'weight': '9.1007 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/sheepskin-throw-ivory-2,Sheepskin Ivory,,Sheepskin Throw - Ivory,9647417360,"Made of supreme grade, 100% New Zealand/Australian wool, this Sheepskin Throw is a modern Scandinavian essential. A few of our favorite uses include draping it over your favorite chair to add style and coziness, surrounding the base of your Christmas tree for a festive winter look and of course the traditional use of layering it on your flooring to warm your toes.",99,USD,ACC_Throw,"['https://cdn.shopify.com/s/files/1/1920/4697/products/A17_LMP85-IV_001.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/SHEEPSKINTHROW-IVORY-A17_LMP85_IV.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_Eckler_Dining_Table_V1_WEB_da53b598-6e34-44d3-87af-a6ecb44d7d76.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/LoganChairs_Blue_withFur_upd_905d06b1-b2c6-4b5c-99e9-71dde858f4a4.jpg']","{'variant_attributes': 'Color: Sheepskin Ivory', 'variant_title': 'Sheepskin Ivory', 'scraped_at': '2022-10-12T17:01:29.812Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'care_solvent_dry_clean', 'corona_inStock', 'dupont_inStock', 'fedex', 'FULLPRICE', 'gift', 'gift_ideas', 'glam_gifts', 'HD_BS', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Bedroom', 'Room:Dining Room', 'Room:Home Decor', 'Rug Style:Sheepskin', 'Rug Style:Solid', 'Rug Type:Throw', 'type:Home Textiles', 'type:Throws', 'winter_picks'], 'weight': '3.0005 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/bolig-mirror,NATURAL DRIFTWOOD,,Bolig Mirror,9514186960,"The square Bolig Wall Mirror is framed in solid American poplar with a distressed finish. Add light and rustic charm to your space with this piece that coordinates perfectly with the rest of the Bolig Collection. The rustic reclaimed look of this collection is achieved through an intentional distressing technique that applies burn and saw marks to the surface while retaining and highlighting natural characteristics in the wood. This technique results in a reclaimed driftwood appearance, which adds personality and a one-of-a-kind uniqueness to each piece.
This item is intentionally distressed. Please view detailed photos showing range of distressing before adding to cart.",229,USD,BED_Mirror,"['https://cdn.shopify.com/s/files/1/1920/4697/products/S13_BOl-MIR_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_BOl-DD_004_upd_d0222d2b-071b-43bb-bc28-cb075529731b.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/2-Bolig_vanity_upd_3b19f16a-d81e-4654-974a-53363d03458a.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/3-Bolig-TextureZoom_upd_ff4493d3-c825-407a-acc8-4663b4dde3c0.jpg']","{'variant_attributes': 'color: NATURAL DRIFTWOOD', 'variant_title': 'NATURAL DRIFTWOOD', 'scraped_at': '2022-10-12T17:01:31.618Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['boise_boys', 'browns_inStock', 'Collection:Bolig', 'corona_inStock', 'dupont_inStock', 'fall_picks', 'FULLPRICE', 'gift_ideas', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Promotion:Bedroom Back to School', 'prop65:METHANOL_EHTYL_BENZENE', 'Room:Bedroom', 'Room:Dining Room', 'Room:Entryway', 'Room:Home Decor', 'Sub-Type:Wall Mirrors', 'type:Mirrors'], 'weight': '37 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/holfred-nightstand,TIMBER BROWN,,Holfred Nightstand,9513542736,The Holfred Nightstand boasts a combination of storage for your bedside with two drawers and a display shelf. Simple lines in the design are accented by the fine attention to detail from the exquisite cutouts of the drawer pulls to the brass capped feet.,299,USD,BED_Nightstand,"['https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-NS_001.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/Holfred-nightstand.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HolfredBed_Winter_ColorEdit_b260df9f-c354-4ca4-8df2-53396ff72342.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-NS_002.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-NS_004_25f781ea-5d15-4c78-babc-59f39d3ee5cb.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S13_HOL-NS_003.jpg']","{'variant_attributes': 'Color: TIMBER BROWN', 'variant_title': 'TIMBER BROWN', 'scraped_at': '2022-10-12T17:01:32.929Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['boise_boys', 'browns_inStock', 'Care_Wood', 'Collection:Holfred', 'dupont_inStock', 'fedex', 'fedex_medium', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Promotion:Bedroom Back to School', 'prop65:METHANOL_EHTYL_BENZENE', 'Room:Bedroom', 'Room:Teen', 'type:End Tables', 'type:Nightstands'], 'weight': '33.0605 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/sheepskin-throw-black,Sheepskin Black,,Sheepskin Throw - Black,9647425296,"Made of supreme grade, 100% New Zealand/Australian wool, this Sheepskin Throw is a modern Scandinavian essential. A few of our favorite uses include draping it over your favorite chair to add style and coziness, surrounding the base of your Christmas tree for a festive winter look and of course the traditional use of layering it on your flooring to warm your toes.",99,USD,ACC_Throw,['https://cdn.shopify.com/s/files/1/1920/4697/products/A17_LMP85-BK_001.jpg'],"{'variant_attributes': 'Color: Sheepskin Black', 'variant_title': 'Sheepskin Black', 'scraped_at': '2022-10-12T17:01:35.507Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'care_solvent_dry_clean', 'corona_inStock', 'dupont_inStock', 'fedex', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Bedroom', 'Room:Dining Room', 'Room:Home Decor', 'Rug Style:Sheepskin', 'Rug Style:Solid', 'type:Home Textiles', 'type:Throws'], 'weight': '3.0005 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/sheepskin-rug-throw,Sheepskin Grey,,Sheepskin Throw - Grey,9514186896,"Made of supreme grade, 100% Icelandic wool, this Sheepskin Throw is a modern Scandinavian essential. A few of our favorite uses include draping it over your favorite chair to add style and coziness, surrounding the base of your Christmas tree for a festive winter look and of course the traditional use of layering it on your flooring to warm your toes.",139,USD,ACC_Throw,"['https://cdn.shopify.com/s/files/1/1920/4697/products/A17_LMP90-GY_001.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/SHEEPSKINTHROW-GREY-A17_LMP90_GY.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/2020_CS44-Idalia_Cropped_RGB_1200x1000_18be0690-58c2-4d53-9a70-d10c46941f68.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/FUR-DANIA_931809de-e357-451f-ae7f-cca0c5c412b4.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/Maxino-sec-med_47030ede-4d97-4a98-9a64-dd2c08874b3c.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/LoganChairs_Orange_withFur_upd.jpg']","{'variant_attributes': 'Color: Sheepskin Grey', 'variant_title': 'Sheepskin Grey', 'scraped_at': '2022-10-12T17:01:33.726Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'care_solvent_dry_clean', 'corona_inStock', 'dupont_inStock', 'fedex', 'FULLPRICE', 'gift', 'gift_ideas', 'glam_gifts', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Bedroom', 'Room:Dining Room', 'Room:Home Decor', 'Rug Style:Sheepskin', 'Rug Style:Solid', 'Rug Type:Throw', 'type:Home Textiles', 'type:Throws'], 'weight': '3.0005 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/stapleton-wall-clock,Brushed Nickel,,Stapleton Wall Clock,9514190992,"The Stapleton Wall Clock features Arabic numerals at 3, 6, 9 and 12 in a modern sans serif font. The open dial design and brushed nickel finish add a modern and simple to aesthetic to any room.",449,USD,ACC_Clock,['https://cdn.shopify.com/s/files/1/1920/4697/products/H14_625-520_001_09153453-b1f4-4ffa-b596-04d7a9efe548.jpg'],"{'variant_attributes': 'color: Brushed Nickel', 'variant_title': 'Brushed Nickel', 'scraped_at': '2022-10-12T17:01:36.812Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'fall_picks', 'FULLPRICE', 'gift_ideas', 'ISP_NO_SPLIT', 'Room:Home Decor', 'Sub-Type:Wall Clocks', 'type:Clocks'], 'weight': '13.0007 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/zander-oversized-wall-clock,Chrome,,Zander Oversized Wall Clock,9514190864,"With a clean and sleek silhouette, the Zander Rectangular Wall Clock boasts a high-gloss white finish with inset chrome-finished hour markers. The contemporary design is completed with the high-gloss black tapered hands. Watch time pass with this lustrous work of art.",349,USD,ACC_Clock,['https://cdn.shopify.com/s/files/1/1920/4697/products/H14_625616_001_c403f1e3-df9a-4c87-9ed6-00c3dce89286.jpg'],"{'variant_attributes': 'Color: Chrome', 'variant_title': 'Chrome', 'scraped_at': '2022-10-12T17:01:37.425Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'fedex', 'FULLPRICE', 'gift_ideas', 'ISP_NO_SPLIT', 'modern_gifts', 'Room:Home Decor', 'Sub-Type:Wall Clocks', 'type:Clocks'], 'weight': '21.4003 lb', 'requires_shipping': True}"
