,Post_URL,Post_Title,Price,Location,Source
87,https://pittsburgh.craigslist.org/fuo/d/gibsonia-dining-room-set/7544642445.html,Dining room set,245.0, (Gibsonia),craigslist
207,https://pittsburgh.craigslist.org/fuo/d/gibsonia-dining-room-set/7544642445.html,Dining room set,245.0, (Gibsonia),craigslist
18,https://www.aptdeco.com/product/article-dining-room-table,Article Dining Room Table,490.0,"New York, NY, 10001",Etsy
32,https://www.aptdeco.com/product/handmade-vintage-afghan-ersari-mat-4,Handmade Vintage Afghan Ersari Mat,400.0,"Elmhurst, NY, 11373",Etsy
38,https://www.aptdeco.com/product/raymour-flanigan-zila-glass-coffee-table-3,Raymour & Flanigan Zila Glass Coffee Table,276.0,"New York, NY, 10016",Etsy
39,https://www.aptdeco.com/product/handmade-antique-american-hooked-rug-86,Handmade Antique American Hooked Rug,1499.0,"Elmhurst, NY, 11373",Etsy
40,https://www.aptdeco.com/product/handmade-antique-american-hooked-rug-87,Handmade Antique American Hooked Rug,1499.0,"Elmhurst, NY, 11373",Etsy
41,https://www.aptdeco.com/product/handmade-antique-american-hooked-rug-88,Handmade Antique American Hooked Rug,1099.0,"Elmhurst, NY, 11373",Etsy
42,https://www.aptdeco.com/product/handmade-antique-afghan-baluch-prayer-rug-6,Handmade Antique Afghan Baluch Prayer Rug,1799.0,"Elmhurst, NY, 11373",Etsy
45,https://www.aptdeco.com/product/handmade-vintage-uzbek-bukhara-mat,Handmade Vintage Uzbek Bukhara Mat,444.0,"Elmhurst, NY, 11373",Etsy
46,https://www.aptdeco.com/product/handmade-vintage-persian-tabriz-rug-13,Handmade Vintage Persian Tabriz Rug,999.0,"Elmhurst, NY, 11373",Etsy
52,https://www.aptdeco.com/product/gray-velvet-accent-barrel-chair,Gray Velvet Accent Barrel Chair,122.0,"Philadelphia, PA, 19151",Etsy
59,https://www.aptdeco.com/product/unique-white-leather-3-piece-seating-sofa,Unique White leather 3 Piece Seating Sofa,1305.0,"White Plains, NY, 10603",Etsy
61,https://www.aptdeco.com/product/modern-counter-height-table-in-natural-sheesham,Modern Counter Height Table In Natural Sheesham,894.0,"Brooklyn, NY, 11232",Etsy
64,https://www.aptdeco.com/product/crate-barrel-oliver-queen-bed-9,Crate & Barrel Oliver Queen Bed,405.0,"Brooklyn, NY, 11249",Etsy
78,https://www.aptdeco.com/product/field-3-piece-sofa,Field 3-Piece Sofa,925.0,"Perth Amboy, NJ, 08861",Etsy
